claps,link,post_id,post_time,response,title
12,https://medium.com/@jadi/switching-to-memsql-made-my-day-4a6a3ab287b9?source=tag_archive---------0----------------,4a6a3ab287b9,2015-04-01T16:07:11.535Z,1,How switching to MemSQL made my dayA profiled test-drive of MemSQL on my update-intensive python code
943,https://medium.com/swlh/the-7-best-data-science-and-machine-learning-podcasts-e8f0d5a4a419?source=tag_archive---------0----------------,e8f0d5a4a419,2015-04-20T15:02:47.250Z,8,The 7 Best Data Science and Machine Learning PodcastsLearn the basics and keep up with the latest…
517,https://medium.com/airbnb-engineering/how-airbnb-uses-machine-learning-to-detect-host-preferences-18ce07150fa3?source=tag_archive---------1----------------,18ce07150fa3,2015-04-14T01:15:45.000Z,2,How Airbnb uses Machine Learning to Detect Host PreferencesBy Bar Ifrach
127,https://medium.com/airbnb-engineering/overcoming-missing-values-in-a-random-forest-classifier-7b1fc1fc03ba?source=tag_archive---------2----------------,7b1fc1fc03ba,2015-04-07T18:02:05.000Z,3,Overcoming Missing Values In A Random Forest ClassifierBy Alok GuptaNo StrangersAirbnb is trying to build a world where people can belong anywhere and there are no strangers. This helps hosts feel comfortable opening their…
39,https://medium.com/job-portraits/the-data-team-behind-instacart-s-hyper-growth-c96af9280cf9?source=tag_archive---------3----------------,c96af9280cf9,2015-04-23T12:35:17.759Z,1,"The Data Team Behind Instacart’s Hyper-growthBacked by a $220M C-round, Instacart is looking to grow…"
72,https://blog.semantics3.com/product-matching-you-ve-not-heard-of-it-but-its-powering-your-price-comparison-engine-5a940b1a4a52?source=tag_archive---------5----------------,5a940b1a4a52,2015-04-15T01:10:40.018Z,2,"Product Matching: You’ve not heard of it, but its powering your price comparison engine"
86,https://medium.com/@balazskegl/the-data-science-ecosystem-678459ba6013?source=tag_archive---------6----------------,678459ba6013,2015-04-16T19:53:12.515Z,1,"The data science ecosystemActors, incentives, challenges"
12,https://medium.com/@jadi/switching-to-memsql-made-my-day-4a6a3ab287b9?source=tag_archive---------7----------------,4a6a3ab287b9,2015-04-01T16:07:11.535Z,1,How switching to MemSQL made my dayA profiled test-drive of MemSQL on my update-intensive python code
19,https://towardsdatascience.com/0-to-500-students-64d74f50026a?source=tag_archive---------8----------------,64d74f50026a,2015-04-08T09:35:57.847Z,2,0 to 500 students.Lessons learned on growth.
9,https://medium.com/@cal/10-hot-data-science-companies-with-berkeley-roots-4b7164b46c88?source=tag_archive---------9----------------,4b7164b46c88,2015-04-20T19:27:19.705Z,1,10 Hot Data Science Companies with Berkeley RootsBerkeley innovators are developing new and creative…
943,https://medium.com/swlh/the-7-best-data-science-and-machine-learning-podcasts-e8f0d5a4a419?source=tag_archive---------0----------------,e8f0d5a4a419,2015-04-20T15:02:47.250Z,8,The 7 Best Data Science and Machine Learning PodcastsLearn the basics and keep up with the latest…
