claps,link,post_id,post_time,response,title
4,https://medium.com/@AnyChart/first-ever-bar-charts-created-in-14th-century-interesting-fact-4fb9ae576509?source=tag_archive---------4----------------,4fb9ae576509,2015-06-02T00:00:00.000Z,1,"First Ever Bar Charts Created in 14th Century [Interesting Fact]Several experts and sources say William Playfair deserves credit for the development of the first bar chart in 1786. However, this statement appears to be misleading, or if not wrong, at least just a part of the truth."
7,https://medium.com/john-schrom/using-gene-expression-data-to-understand-infectious-diseases-8566f0c858bf?source=tag_archive---------1----------------,8566f0c858bf,2015-06-05T18:54:48.284Z,1,"Using gene expression data to understand infectious diseasesWhen I get sick, I often walk through a decision tree of (sometimes misguided) self-diagnosis. Do I have a fever? Nausea? Is my cough productive? Is my sore throat accompanied by chills (probably strep throat) or no other…"
3.3K,https://medium.com/@rchang/my-two-year-journey-as-a-data-scientist-at-twitter-f0c13298aee6?source=tag_archive---------0----------------,f0c13298aee6,2015-06-20T20:48:07.078Z,42,Doing Data Science at TwitterA reflection of my two year Journey so far. Sample size N = 1
283,https://medium.com/rants-on-machine-learning/the-unreasonable-effectiveness-of-random-forests-f33c3ce28883?source=tag_archive---------1----------------,f33c3ce28883,2015-06-18T01:12:08.490Z,3,"The Unreasonable Effectiveness of Random ForestsIt’s very common for machine learning practitioners to have favorite algorithms. It’s a bit irrational, since no algorithm strictly dominates in all applications, the performance of ML algorithms varies wildly depending on the application and…"
98,https://medium.com/rants-on-machine-learning/interview-questions-for-data-scientist-positions-5ad3c5d5b8bd?source=tag_archive---------2----------------,5ad3c5d5b8bd,2015-06-08T20:02:09.855Z,2,"Interview Questions for Data Scientist PositionsThere are loads of books on “cracking” the programming interview, and every computer scientist or software engineer has spent some time hunting down and trying to solve interesting interview problems. But the typical interview problems are not…"
167,https://medium.com/rants-on-machine-learning/smarter-parameter-sweeps-or-why-grid-search-is-plain-stupid-c17d97a0e881?source=tag_archive---------3----------------,c17d97a0e881,2015-06-22T08:32:10.934Z,2,Smarter Parameter Sweeps (or Why Grid Search Is Plain Stupid)Anyone that ever had to train a machine learning model had to go through some parameter sweeping (a.k.a. hyper-parameter optimization) to find a sweet spot for algorithm parameters. For random forests the parameters in need…
99,https://medium.com/rants-on-machine-learning/interview-questions-for-data-scientist-positions-part-ii-ac294c2c7241?source=tag_archive---------4----------------,ac294c2c7241,2015-06-30T19:50:39.662Z,2,"Interview Questions for Data Scientist Positions (Part II)In a previous post, I argued for the need of a different kind of interview questions for data science and machine learning engineers. I then listed some questions I thought good for gauging data science knowledge and cleverness…"
3.3K,https://medium.com/@rchang/my-two-year-journey-as-a-data-scientist-at-twitter-f0c13298aee6?source=tag_archive---------0----------------,f0c13298aee6,2015-06-20T20:48:07.078Z,42,Doing Data Science at TwitterA reflection of my two year Journey so far. Sample size N = 1
283,https://medium.com/rants-on-machine-learning/the-unreasonable-effectiveness-of-random-forests-f33c3ce28883?source=tag_archive---------1----------------,f33c3ce28883,2015-06-18T01:12:08.490Z,3,"The Unreasonable Effectiveness of Random ForestsIt’s very common for machine learning practitioners to have favorite algorithms. It’s a bit irrational, since no algorithm strictly dominates in all applications, the performance of ML algorithms varies wildly depending on the application and…"
98,https://medium.com/rants-on-machine-learning/interview-questions-for-data-scientist-positions-5ad3c5d5b8bd?source=tag_archive---------2----------------,5ad3c5d5b8bd,2015-06-08T20:02:09.855Z,2,"Interview Questions for Data Scientist PositionsThere are loads of books on “cracking” the programming interview, and every computer scientist or software engineer has spent some time hunting down and trying to solve interesting interview problems. But the typical interview problems are not…"
167,https://medium.com/rants-on-machine-learning/smarter-parameter-sweeps-or-why-grid-search-is-plain-stupid-c17d97a0e881?source=tag_archive---------3----------------,c17d97a0e881,2015-06-22T08:32:10.934Z,2,Smarter Parameter Sweeps (or Why Grid Search Is Plain Stupid)Anyone that ever had to train a machine learning model had to go through some parameter sweeping (a.k.a. hyper-parameter optimization) to find a sweet spot for algorithm parameters. For random forests the parameters in need…
