claps,link,post_id,post_time,response,title
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
1.2K,https://medium.com/@shivon/the-current-state-of-machine-intelligence-f76c20db2fe1?source=tag_archive---------0----------------,f76c20db2fe1,2014-12-10T18:19:52.786Z,25,The Current State of Machine Intelligence(The 2016 Machine Intelligence landscape and post can be found here)
