claps,link,post_id,post_time,response,title
3,https://ai-alignment.com/synthesizing-training-data-f92a637dc1b4?source=tag_archive---------1----------------,f92a637dc1b4,2015-12-02T21:10:31.657Z,2,Synthesizing training dataCan we synthesize tomorrow’s training data today?(Warning: might be a slog.)Counterfactual oversight requires the overseer to stick around while the system is operating. This causes trouble if the…
13,https://nexus.vert.gg/getting-the-edge-20af6afa1c95?source=tag_archive---------2----------------,20af6afa1c95,2015-12-02T16:19:28.740Z,1,Getting the EdgeWhy I cheated in online games
120,https://medium.com/@duhroach/unexplored-areas-in-data-compression-c256f70ba0c7?source=tag_archive---------0----------------,c256f70ba0c7,2015-12-04T16:51:18.279Z,6,"Unexplored areas in Data CompressionA good colleague of mine, Rich Geldreich put up a interesting article talking about his viewpoints in future directions in lossless compression technology. So I figured that I might toss out my own thoughts out too. (hey, it’s the internet, right?)."
3,https://medium.com/@apassant/a-google-developer-video-on-bigquery-for-musictech-6a6c3fe39da0?source=tag_archive---------3----------------,6a6c3fe39da0,2015-12-04T16:01:38.403Z,1,"A Google Developer video on BigQuery for #MusicTechA few months ago, after my #MusicTech book was published, I’ve spend some hours with Felipe Hoffa, Developer Advocate at Google, talking about several musical data experiments built using the Google Cloud Platform, and specifically BigQuery."
1,https://medium.com/data-its-discontents/data-its-discontents-preface-e1653e9a1491?source=tag_archive---------1----------------,e1653e9a1491,2015-12-05T02:13:40.315Z,2,data & its discontents (preface)can’t find a way to include a more substantive description for this ‘publication’ beyond the subtitle…
11,https://fullstackml.com/how-much-memory-does-a-data-scientist-need-245a5e06d26d?source=tag_archive---------0----------------,245a5e06d26d,2015-12-07T01:30:41.000Z,1,"How Much Memory Does A Data Scientist Need?Recently, I discovered an interesting blog post Big RAM is eating big data — Size of datasets used for analytics from Szilard Pafka. He says that “Big RAM is eating big data”. This phrase means that the growth of the memory size is much faster than the…"
8,https://medium.com/@balazskegl/what-is-wrong-with-data-challenges-ed1f34246d44?source=tag_archive---------2----------------,ed1f34246d44,2015-12-07T13:51:57.709Z,2,What is wrong with data challengesLooking for alternative mechanisms
34,https://medium.com/@olegrogynskyy/machine-learning-is-the-new-sql-d70cd1c82e80?source=tag_archive---------0----------------,d70cd1c82e80,2015-12-08T18:14:45.190Z,3,"Machine learning is the new SQLBefore the emergence of today’s massive data sets, organisations primarily stored their data in relational databases produced by the likes of Oracle, Teradata, IBM, etc. Following its emergence in the latter half of the 1980s, SQL quickly became the de facto standard for…"
8,https://technology.cloverhealth.com/p-values-or-how-i-learned-to-stop-worrying-and-love-the-bootstrap-3e033b273362?source=tag_archive---------1----------------,3e033b273362,2015-12-08T23:29:26.351Z,1,"p-values or: How I Learned to Stop Worrying* and Love the Bootstrap*I didn’t stop worrying. I just stopped worrying about p-values.In my first week at Clover Health, our business team observed that splitting our…"
1,https://medium.com/@janessalantz/how-many-companies-actually-have-big-data-skills-a014457df173?source=tag_archive---------3----------------,a014457df173,2015-12-08T09:03:09.000Z,1,"How Many Companies Actually Have Big Data Skills?It’s been nearly three years since Dan Ariely declared that big data is like teenage sex. His logic? “Everyone talks about it, nobody really knows how to do it, everyone thinks everyone else is doing it, so everyone claims they are doing it…”"
9,https://medium.com/@captain_eli/6-16-business-licence-data-from-the-city-of-vancouver-elidatascience-3d25a0f6607f?source=tag_archive---------5----------------,3d25a0f6607f,2015-12-08T19:35:30.625Z,2,"Analysing Business Licence Data from the City of VancouverTwo weeks ago I entered a Data Science Competition put on by DataSense, the City of Vancouver and IBM’s Big Data University. The data set for the competition was 19 years of business licence data."
171,https://medium.com/@dimart/pok%C3%A9mon-recognition-d3ad5cadc61e?source=tag_archive---------0----------------,d3ad5cadc61e,2015-12-09T13:47:57.979Z,1,Pokémon RecognitionToday we are going to solve Pokemon Recognition Problem using Python and…
13,https://medium.com/dima-korolev/modern-cloud-ml-frameworks-fbae503ace8e?source=tag_archive---------2----------------,fbae503ace8e,2015-12-09T16:08:10.052Z,1,Modern Cloud ML FrameworksAnd why they are a joke.
313,https://medium.com/airbnb-engineering/how-well-does-nps-predict-rebooking-9c84641a79a7?source=tag_archive---------0----------------,9c84641a79a7,2015-12-10T15:16:14.000Z,4,How well does NPS predict rebooking?by Lisa Qian
72,https://medium.com/netflix-techblog/optimizing-content-quality-control-at-netflix-with-predictive-modeling-712281658ab9?source=tag_archive---------1----------------,712281658ab9,2015-12-10T08:00:00.000Z,2,Optimizing Content Quality Control at Netflix with Predictive Modeling
60,https://medium.com/@MuSigmaPohlmann/forget-data-science-here-s-why-decision-scientists-will-be-the-most-sought-after-career-in-the-61675cf4ecef?source=tag_archive---------2----------------,61675cf4ecef,2015-12-10T22:34:37.785Z,4,Forget Data Science — Here’s Why Decision Scientists Will Be the Most Sought After Career in the Coming DecadesThe ‘sexiest job of the 21st century’ is looking a little tired.
8,https://medium.com/@vql/13-boats-and-a-castle-airbnb-in-boston-1dad9a92039a?source=tag_archive---------3----------------,1dad9a92039a,2015-12-10T15:51:09.504Z,2,"13 Boats and a Castle, Airbnb in BostonIn December, in an effort to make the company more transparent, Airbnb released ~170,000 rows of anonymized listing data.This is not that data."
2,https://towardsdatascience.com/statistics-for-hackers-11722d0d27a0?source=tag_archive---------4----------------,11722d0d27a0,2015-12-10T17:02:44.118Z,5,"Statistics for hackersIt seems that the new trend is to write webpages, books, and slide decks about [insert stat-sounding thing] for hackers. A lot of this is then picked up by codebros to do quantitative things without bothering to look into the basics of how it works. And it’s stupid."
116,https://medium.com/@clarecorthell/data-science-books-to-stuff-your-stockings-16d5f9cc9811?source=tag_archive---------1----------------,16d5f9cc9811,2015-12-12T15:34:53.659Z,1,"Data Science Books to Stuff Your StockingsHappy Holidays! 🎉🎄🎀 It’s that time of year when I hide inside, drink hot toddies…"
8,https://medium.com/@cheetooh/how-to-visualize-dataset-using-neo4j-597181fc8766?source=tag_archive---------2----------------,597181fc8766,2015-12-12T14:54:10.637Z,2,"How to visualize dataset using Neo4j?Recently, we were working on a group project in my Data Science Primer Course. A dataset scraped from iFlix.com is given in an Excel spreadsheet, tabbed with the category name in each sheet. My teammate managed to transform all these sheets into a single master…"
6,https://medium.com/@kroneii/visualizing-diaper-beer-relationship-in-graph-database-e2790819ad13?source=tag_archive---------0----------------,e2790819ad13,2015-12-13T11:44:34.369Z,1,Visualizing Diaper-Beer Relationship in Graph databaseWal-mart: People who bought diaper also buy…
274,https://towardsdatascience.com/the-5-most-important-python-data-science-advancements-of-2015-a136482da89b?source=tag_archive---------0----------------,a136482da89b,2015-12-14T23:09:59.228Z,5,5 important Python Data Science advancements of 2015Sometimes it can be hard to keep up with all the new stuff happening in the Python data science community. And who has the time to watch the videos…
72,https://blog.graphiq.com/data-superpowers-for-the-masses-788be37b7910?source=tag_archive---------0----------------,788be37b7910,2015-12-15T16:30:12.722Z,2,Data superpowers for the massesHow we scaled data ingestion and turned 50 liberal arts majors into…
129,https://medium.com/@drpolonski/the-next-decade-of-data-science-654d85dbfa70?source=tag_archive---------1----------------,654d85dbfa70,2015-12-15T09:25:49.796Z,1,The Next Decade of Data ScienceRethinking key challenges faced by big data researchers
